// altitudeMax;altitudeMin;altitudeMoyenne;anneeRefCommune;anneeRefDepartement;cdNom;cdRef;codeCommune;codeDepartement;codeEN;codeHabitat;codeHabRef;codeIDCNPDispositif;codeMaille;codeME;commentaire;comportement;dateDetermination;dateME;dEEFloutage;denombrementMax;denombrementMin;determinateurIdentite;determinateurMail;determinateurNomOrganisme;diffusionNiveauPrecision;dSPublique;geometrie;heureDateDebut;heureDateFin;identifiantOrigine;identifiantPermanent;identifiantRegroupementPermanent;jddCode;jddId;jddSourceId;jourDateDebut;jourDateFin;météo;methodeRegroupement;natureObjetGeo;nomCite;nomCommune;nomRefMaille;objetDenombrement;obsContexte;obsDescription;observateurIdentite;observateurMail;observateurNomOrganisme;obsMethode;occEtatBiologique;occMethodeDetermination;occNaturalite;occSexe;occStadeDeVie;occStatutBioGeographique;occStatutBiologique;organismeGestionnaireDonnee;organismeStandard;orgTransformation;precisionGeometrie;preuveExistante;preuveNonNumerique;preuveNumerique;profondeurMax;profondeurMin;profondeurMoyenne;referenceBiblio;refHabitat;statutObservation;statutSource;typeDenombrement;typeEN;typeInfoGeoCommune;typeInfoGeoDepartement;typeInfoGeoEN;typeInfoGeoMaille;typeInfoGeoMasseDEau;typeRegroupement;validateurIdentite;validateurMail;validateurNomOrganisme;versionEN;versionME;versionRefHabitat;versionRefMaille;versionTAXREF
;;;;2016;60577;60577;;30;;;;;;;;dominant;2015-01-01T00:00+0100;;;;;;;;;Pu;POINT(5.75035744012219 48.311889363399679);11:02;10:08;T82_1_12;;;BDMAP;T82;12;2000-05-10;2000-05-11;nuageux;;In;canis lupus;;;;;;Paul HENRI;;MNHN-SPN;;;;;;;;;ONEMA;;MNHN-SPN;1;;;;;;;;;Pr;Te;;;;2;;;;;Paul HENRI;;MNHN-SPN;;;;;V10.0
;;;;2016;60577;60577;;31;;;;;;;;prédation;2015-01-01T00:00+0100;;;;;;;;;Pu;POINT(5.75035744012219 48.311889363399679);11:02;10:08;T82_1_13;;;MA_BASE;jdd25_12_32;13;2000-05-11;2000-05-12;nuageux;;In;canis lupus;;;;;;Pierre QUIPOUSSE;;Service des eaux fluviales;;;;;;;;;MNHN-SPN;;MNHN-SPN;1;;;;;;;;;Pr;Te;;;;2;;;;;Pierre QUIPOUSSE;;VINCI;;;;;V10.0
;;;;2016;60577;60577;;32;;;;;;;;prédation;2015-01-01T00:00+0100;;;;;;;;;Pu;POINT(5.75035744012219 48.311889363399679);11:02;10:08;T83_1_1;;;MA_BASE;jdd25_12_32;14;2000-05-12;2000-05-13;nuageux;;In;canis lupus;;;;;;Sarah CROCHE;;MNHN-SPN;;;;;;;;;MNHN-SPN;;MNHN-SPN;1;;;;;;;;;Pr;NSP;;;;2;;;;;Sarah CROCHE;;Groupe détude des Amphibiens de la Loire;;;;;V10.0
;;;;2016;60577;60577;;33;;;;;;;;prédation;2015-01-01T00:00+0100;;;;;;;;;NSP;POINT(5.75035744012219 48.311889363399679);11:02;10:08;T83_1_2;;;MA_BASE;jdd25_12_32;15;2000-05-13;2000-05-14;nuageux;;In;canis lupus;;;;;;Daniel GUICHARD;;MNHN-SPN;;;;;;;;;MNHN-SPN;;MNHN-SPN;1;;;;;;;;;Pr;NSP;;;;2;;;;;Daniel GUICHARD;;PLACO;;;;;V10.0
;;;;2016;60577;60577;;34;;;;;;;;prédation;2015-01-01T00:00+0100;;;;;;;;;NSP;POINT(5.75035744012219 48.311889363399679);11:02;10:08;T83_1_3;;;MA_BASE;jdd25_12_32;16;2000-05-14;2000-05-15;nuageux;;In;canis lupus;;;;;;Léo NARD;;VINCI;;;;;;;;;MNHN-SPN;;MNHN-SPN;1;;;;;;;;;No;NSP;;;;2;;;;;Léo NARD;;MNHN-SPN;;;;;V10.0
;;;;2016;60577;60577;;35;;;;;;;;prédation;2015-01-01T00:00+0100;;;;;;;;;NSP;POINT(5.75035744012219 48.311889363399679);11:02;10:08;T83_1_4;;;MA_BASE;jdd25_12_32;17;2000-05-15;2000-05-16;nuageux;;In;canis lupus;;;;;;Jacques TATI;;Groupe détude des Amphibiens de la Loire;;;;;;;;;MNHN-SPN;;MNHN-SPN;1;;;;;;;;;Pr;NSP;;;;2;;;;;Jacques TATI;;FCEN;;;;;V10.0
;;;;2016;60577;60577;;36;;;;;;;;prédation;2015-01-01T00:00+0100;;;;;;;;;NSP;POINT(5.75035744012219 48.311889363399679);11:02;10:08;T83_1_5;;;MA_BASE;jdd25_12_32;18;2000-05-16;2000-05-17;nuageux;;In;canis lupus;;;;;;Merlin LEROY;;PLACO;;;;;;;;;MNHN-SPN;;MNHN-SPN;1;;;;;;;;;Pr;NSP;;;;2;;;;;Merlin LEROY;;TINTIN;;;;;V10.0
;;;;2016;60577;60577;;37;;;;;;;;prédation;2015-01-01T00:00+0100;;;;;;;;;NSP;POINT(5.75035744012219 48.311889363399679);11:02;10:08;T83_1_6;;;MA_BASE;jdd25_12_32;19;2000-05-17;2000-05-18;nuageux;;In;canis lupus;;;;;;Tatie DANIEL;;MNHN-SPN;;;;;;;;;MNHN-SPN;;MNHN-SPN;1;;;;;;;;;Pr;NSP;;;;2;;;;;Tatie DANIEL;;RG, AG;;;;;V10.0
;;;2016;;60577;;97313;;;;;;;;;apprentissage;2015-01-01T00:00+0100;;;;;;;;3;NSP;POINT(5.75035744012219 48.311889363399679);11:02;10:08;T82_1_1;;;BDMAP;T82;20;2014-10-01;2014-10-02;nuageux;;In;canis lupus;Chapelle-des-bois;;;;;Pierre MICHEL;;FCEN;;;;;;;;;ONEMA;;MNHN-SPN;10;;;;;;;;;No;Te;;;2;;;;;;Pierre MICHEL;;MNHN-SPN;;;;;V10.0
;;;2016;;60577;;94080;;;;;;;;;apprentissage;2015-01-01T00:00+0100;;;;;;;;;Pu;POLYGON((5.8493 46.9390, 5.9442 46.9353, 5.9681 46.8574, 5.8353 46.8748, 5.8493 46.9390));11:02;10:08;T82_1_7;;;BDMAP;T82;21;1988-01-01;1988-01-02;pluie;;NSP;canis lupus;Chapelle-des-bois;;;;;Ptit JEAN;;RATS;21;0;;0;0;0;0;1;ONEMA;;MNHN-SPN;1;2;;;;;;;;No;Te;;;2;;;;;;Ptit JEAN;;Black;;;;;V10.0
;;;;2016;60577;;;17;;;;;;;;apprentissage;2015-01-01T00:00+0100;;;;;;;;;Pu;POINT(2.15035744016219 48.711889363399679);11:02;10:08;T82_1_8;;;BDMAP;T82;22;2014-02-02;2014-02-03;pluie;;St;canis lupus;;;;;;Garga NTUA;;TEST;;;;;;;;;ONEMA;;MNHN-SPN;1;;;;;;;;;No;Te;;;;2;;;;;Garga NTUA;;CENAIPAS;;;;;V10.0
;;;;2016;60577;;;94;;;;;;;;apprentissage;2015-01-01T00:00+0100;;;;;;;;;Pu;LINESTRING(2.423033 48.846034, 2.426026 48.859478);11:02;10:08;T82_1_9;;;BDMAP;T82;23;2011-11-03;2011-11-04;pluie;;St;canis lupus;;;;;;Pierre CAILLOU;;BEGONIA;;;;;;;;;ONEMA;;MNHN-SPN;1;;;;;;;;;No;Te;;;;2;;;;;Pierre CAILLOU;;MNHN-SPN;;;;;V10.0
;;;2016;;60577;60577;94080;;;;;;;;;meute;2015-01-01T00:00+0100;;;;;;;;;Pu;POLYGON((2.472870 48.844937, 2.471352 48.840363, 2.476845 48.840363, 2.476269 48.847313, 2.466801 48.847752, 2.472870 48.844937));11:02;10:08;T82_1_11;;;BDMAP;T82;24;2008-05-22;2008-05-23;pluie;;In;canis lupus;Chapelle-des-bois;;;;;Sinse MILIATA;;CENAIPAS;;;;;;;;;ONEMA;;MNHN-SPN;1;;;;;;;;;Pr;Te;;;2;;;;;;Sinse MILIATA;;MNHN-SPN;;;;;V10.0
;;;;;60577;60577;;;;;;;;;;meute;2015-01-01T00:00+0100;;;;;;;;;Pu;MULTIPOLYGON (((7.8697 48.8768, 7.8486 48.8736, 7.8678 48.8475,7.8697 48.8768)), ((7.7881 48.8264, 7.7785 48.8045, 7.8058 48.7937,7.7881 48.8264 )));11:02;10:08;T82_1_12;;;BDMAP;T82;25;2000-05-10;2000-05-11;pluie;;In;canis lupus;;;;;;Patrice PREZ;;MNHN-SPN;;;;;;;;;ONEMA;;MNHN-SPN;1;;;;;;;;;Pr;Te;;;;;;;;;Patrice PREZ;;MNHN-SPN;;;;;V10.0
;;;2016;2016;60577;60577;94080;94;;;;;;;;meute;2015-01-01T00:00+0100;;;;;;;;;Pu;MULTIPOLYGON (((7.8697 48.8768, 7.8486 48.8736, 7.8678 48.8475,7.8697 48.8768)), ((7.7881 48.8264, 7.7785 48.8045, 7.8058 48.7937,7.7881 48.8264 )), ((7.9042 48.7494, 7.9206 48.7430, 7.9528 48.7595, 7.9099 48.7745,7.9042 48.7494)));11:02;10:08;T82_1_13;;;MA_BASE;jdd25_12_32;26;2000-05-11;2000-05-12;pluie;;In;canis lupus;Chapelle-des-bois;;;;;Pierre QUIMOUSSE;;Service des eaux fluviales;;;;;;;;;MNHN-SPN;;MNHN-SPN;1;;;;;;;;;Pr;Te;;;2;2;;;;;Pierre QUIMOUSSE;;VINCI;;;;;V10.0
;;;2016;;60577;60577;67444;;;;;;;;;meute;2015-01-01T00:00+0100;;;;;;;;;Pr;;11:02;10:08;T83_1_2;;;MA_BASE;jdd25_12_32;27;2000-05-13;2000-05-14;pluie;;;canis lupus;Chapelle-des-bois;;;;;Daniel GUITARE;;MNHN-SPN;;;;;;;;;MNHN-SPN;;MNHN-SPN;;;;;;;;;;Pr;NSP;;;1;;;;;;Daniel GUITARE;;PLACO;;;;;V10.0
;;;;;60577;60577;;;;;;;E041N653, E041N652, E042N652;;;meute;2015-01-01T00:00+0100;;;;;;;;;NSP;;11:02;10:08;T83_1_3;;;MA_BASE;jdd25_12_32;28;2000-05-14;2000-05-15;pluie;;;canis lupus;;2016;;;;Léo NARDO;;VINCI;;;;;;;;;MNHN-SPN;;MNHN-SPN;;;;;;;;;;No;NSP;;;;;;1;;;Léo NARDO;;MNHN-SPN;;;;2016;V10.0
;;;;2016;60577;60577;;95;;;;;;;;meute;2015-01-01T00:00+0100;;;;;;;;;NSP;;11:02;10:08;T83_1_5;;;MA_BASE;jdd25_12_32;29;2000-05-16;2000-05-17;pluie;;;canis lupus;;;;;;Cathy PICARD;;PLACO;;;;;;;;;MNHN-SPN;;MNHN-SPN;;;;;;;;;;Pr;NSP;;;;1;;;;;Cathy PICARD;;TINTIN;;;;;V10.0
;;;;2016;60577;60577;;77;;;;;;;;meute;2015-01-01T00:00+0100;;;;;;;;2;Pr;POINT(8.23016 48.9661);11:02;10:08;T83_1_6;;;MA_BASE;jdd25_12_32;30;2000-05-17;2000-05-18;pluie;;In;canis lupus;;;;;;Tatie DANIELA;;MNHN-SPN;;;;;;;;;MNHN-SPN;;MNHN-SPN;1;;;;;;;;;Pr;NSP;;;;2;;;;;Tatie DANIELA;;RG, AG;;;;;V10.0
;;;;2016;60577;;;94;;;;;;;;meute;2015-01-01T00:00+0100;;;;;;;;;Pu;LINESTRING(4.6210639 43.606664, 4.6210639 43.606664);11:02;10:08;T82_1_9;;;BDMAP;T82;31;2011-11-03;2011-11-04;pluie;;St;canis lupus;;;;;;Jean ROCHE;;BEGONIA;;;;;;;;;ONEMA;;MNHN-SPN;1;;;;;;;;;No;Te;;;;2;;;;;Jean ROCHE;;MNHN-SPN;;;;;V10.0
;;;;2016;60577;;;94;;;;;;;;meute;2015-01-01T00:00+0100;;;;;;;;;Pu;POLYGON((4.6210639 43.906664, 4.6210639 43.906664, 4.6210639 43.906664, 4.6210639 43.906664, 4.6210639 43.906664, 4.6210639 43.906664));11:02;10:08;T82_1_9;;;BDMAP;T82;32;2011-11-03;2011-11-04;pluie;;St;canis lupus;;;;;;Pierre RICHARDO;;BEGONIA;;;;;;;;;ONEMA;;MNHN-SPN;1;;;;;;;;;No;Te;;;;2;;;;;Pierre RICHARDO;;MNHN-SPN;;;;;V10.0
